Age,Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted Hobby
13,Yes,Yes,Yes,Mathematics,Yes,5,1,Yes,No,No,No,Maybe,3,Academics
17,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,5,1,Yes,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Mathematics,Yes,5,1,Yes,No,No,No,Maybe,3,Academics
12,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,No,2,Academics
12,Yes,Yes,Yes,Mathematics,Yes,6,2,Yes,No,No,No,No,4,Academics
11,Yes,Yes,Yes,Science,Yes,3,5,No,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Mathematics,No,5,2,No,No,No,No,Maybe,3,Academics
15,Yes,Yes,Yes,Science,Yes,3,2,Yes,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,No,No,No,1,Academics
10,Yes,Yes,Yes,Mathematics,Yes,6,4,Yes,No,No,No,No,2,Academics
17,Yes,Yes,Yes,Mathematics,No,3,1,No,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Mathematics,No,3,4,No,No,No,No,Maybe,1,Academics
12,Yes,Yes,Yes,Science,Yes,6,2,Yes,No,No,No,Maybe,1,Academics
12,Yes,Yes,Yes,Any language,Yes,2,2,Yes,No,No,No,No,1,Academics
12,Yes,Yes,Yes,Mathematics,Yes,5,1,No,No,No,No,No,2,Academics
13,Yes,Yes,Yes,Mathematics,Yes,5,2,Yes,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Any language,Yes,5,3,Yes,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Any language,Yes,6,2,Yes,No,No,No,No,1,Academics
13,Yes,Yes,Yes,Mathematics,No,3,1,No,No,No,No,No,3,Academics
15,Yes,Yes,Yes,Mathematics,No,5,1,No,No,No,No,No,3,Academics
12,Yes,Yes,Yes,Any language,No,2,2,Yes,No,No,No,No,1,Academics
13,Yes,Yes,Yes,Science,Yes,6,2,Yes,No,No,No,No,1,Academics
13,Yes,Yes,Yes,Any language,Yes,6,2,Yes,No,No,No,No,1,Academics
