sport_type,sport_activity_level,sport_play_style,favorite_sport,art_type,art_creativity,art_performance,art_learning,acad_subject,acad_problem_solving,acad_curiosity,acad_study_type,analy_interest,analy_logic,analy_challenge,analy_work_style,health_activity_type,health_energy,health_outdoor,health_activity,category,hobby
outdoor,Low,Individual,Table Tennis,Dance,Medium,No,Free,Math,Yes,Yes,Individual,Puzzles,Low,Yes,With others,Physical,Low,No,Running,Academics,Math Olympiad
indoor,High,Team,Table Tennis,Music,Low,No,Structured,Math,No,No,Group,Puzzles,Low,No,Alone,Relaxation,Medium,No,Running,Sports,Table Tennis
indoor,Low,Team,Chess,Dance,Medium,No,Structured,Language,Yes,Yes,Group,Logical Games,Low,No,With others,Physical,Medium,No,Yoga,Academics,Creative Writing
outdoor,Low,Team,Cricket,Dance,High,Yes,Free,Science,No,No,Group,Puzzles,Low,No,With others,Physical,Low,Yes,Meditation,Arts,Dance
indoor,Medium,Team,Table Tennis,Dance,High,Yes,Structured,Science,No,No,Individual,Logical Games,Low,No,Alone,Physical,High,No,Gymnastics,Arts,Dance
indoor,Low,Team,Chess,Drawing,High,Yes,Free,Language,No,No,Individual,Puzzles,Low,No,Alone,Physical,Low,No,Gymnastics,Arts,Drawing
outdoor,High,Team,Cricket,Music,Low,No,Free,Science,No,Yes,Individual,Puzzles,Low,No,With others,Physical,High,No,Gymnastics,Health,Gymnastics
indoor,High,Individual,Badminton,Music,Low,No,Free,Science,No,No,Individual,Puzzles,Low,No,Alone,Relaxation,Low,Yes,Running,Sports,Swimming
outdoor,High,Individual,Table Tennis,Dance,Low,No,Free,Language,No,No,Individual,Coding,Low,Yes,Alone,Physical,Low,No,Yoga,Sports,Swimming
indoor,Low,Team,Football,Music,High,Yes,Structured,Math,No,No,Group,Puzzles,High,No,With others,Physical,Medium,Yes,Gymnastics,Arts,Music
outdoor,Medium,Individual,Table Tennis,Dance,Low,No,Free,Science,Yes,Yes,Group,Logical Games,High,No,With others,Physical,Medium,Yes,Running,Academics,Science Club
indoor,Low,Team,Badminton,Dance,Low,No,Free,Math,Yes,Yes,Individual,Puzzles,High,No,With others,Relaxation,Medium,No,Meditation,Academics,Math Olympiad
outdoor,High,Individual,Cricket,Dance,Low,No,Structured,Science,No,No,Group,Logical Games,Low,No,With others,Relaxation,High,Yes,Yoga,Sports,Cricket
outdoor,Low,Team,Table Tennis,Dance,High,No,Structured,Language,No,Yes,Group,Puzzles,High,Yes,Alone,Physical,Medium,No,Gymnastics,Analytical,Chess
outdoor,Low,Individual,Cricket,Drawing,Low,Yes,Structured,Math,Yes,Yes,Individual,Coding,Medium,No,Alone,Physical,Low,Yes,Gymnastics,Academics,Math Olympiad
outdoor,Medium,Team,Chess,Drawing,Medium,No,Structured,Science,Yes,Yes,Group,Puzzles,High,Yes,With others,Physical,Low,Yes,Running,Academics,Science Club
outdoor,High,Individual,Badminton,Dance,Low,Yes,Structured,Math,No,No,Group,Puzzles,Low,No,With others,Relaxation,Low,Yes,Running,Sports,Badminton
outdoor,Low,Team,Cricket,Drawing,High,Yes,Free,Science,No,No,Individual,Puzzles,Medium,No,With others,Physical,Low,No,Gymnastics,Arts,Drawing
indoor,Low,Team,Badminton,Drawing,Low,Yes,Structured,Science,Yes,Yes,Group,Puzzles,High,No,Alone,Physical,Low,No,Running,Academics,Science Club
outdoor,Low,Individual,Table Tennis,Dance,Medium,No,Free,Math,Yes,Yes,Individual,Coding,Low,Yes,With others,Relaxation,Medium,Yes,Running,Academics,Math Olympiad
outdoor,Low,Individual,Table Tennis,Drawing,Low,No,Structured,Science,Yes,Yes,Group,Puzzles,Medium,No,With others,Physical,High,No,Running,Academics,Science Club
indoor,Low,Individual,Chess,Music,High,Yes,Structured,Language,No,No,Group,Coding,Low,No,With others,Physical,Medium,No,Yoga,Arts,Music
outdoor,Low,Team,Chess,Dance,Low,No,Free,Language,Yes,Yes,Individual,Puzzles,High,No,Alone,Physical,Low,No,Meditation,Academics,Creative Writing
indoor,Low,Team,Badminton,Drawing,Low,Yes,Free,Science,Yes,Yes,Group,Coding,Low,No,With others,Physical,Medium,No,Meditation,Academics,Science Club
outdoor,Low,Team,Chess,Music,Medium,No,Free,Math,Yes,Yes,Group,Coding,High,Yes,Alone,Physical,High,Yes,Meditation,Analytical,Coding
outdoor,Low,Team,Football,Drawing,High,Yes,Structured,Math,No,No,Individual,Coding,Low,No,With others,Relaxation,Low,Yes,Yoga,Arts,Drawing
outdoor,High,Team,Cricket,Dance,Low,No,Structured,Language,No,No,Group,Puzzles,Low,No,Alone,Physical,Low,Yes,Gymnastics,Sports,Cricket
outdoor,Medium,Team,Table Tennis,Drawing,Low,No,Structured,Math,No,No,Individual,Logical Games,Low,No,Alone,Physical,High,Yes,Running,Health,Running
outdoor,Low,Individual,Chess,Dance,High,No,Structured,Language,Yes,Yes,Individual,Puzzles,High,Yes,With others,Relaxation,Low,No,Meditation,Academics,Creative Writing
indoor,Low,Individual,Cricket,Music,Low,No,Free,Math,No,No,Group,Puzzles,Medium,No,With others,Physical,High,Yes,Running,Health,Running
indoor,High,Individual,Football,Music,Low,No,Structured,Science,No,No,Individual,Puzzles,Low,No,Alone,Relaxation,High,Yes,Yoga,Health,Yoga
indoor,Medium,Individual,Table Tennis,Drawing,High,No,Free,Language,No,Yes,Individual,Puzzles,Medium,Yes,With others,Physical,Medium,No,Yoga,Academics,Creative Writing
indoor,Low,Individual,Cricket,Dance,High,Yes,Free,Math,No,No,Group,Logical Games,Low,No,With others,Physical,Medium,Yes,Gymnastics,Arts,Dance
indoor,Medium,Team,Badminton,Drawing,Low,No,Free,Language,Yes,Yes,Individual,Puzzles,Low,No,Alone,Physical,High,Yes,Gymnastics,Health,Gymnastics
