age,likes_sports,sport_indoor_outdoor,which_sport,sport_hours_per_day,sport_team_solo,sport_activity_level,likes_arts,which_art,art_creativity,art_performance,art_hours,art_learning_style,likes_academics,fav_subject,acad_problem_solving,acad_curiosity,acad_study_type,acad_competitions,likes_analytical,analy_puzzle_type,analy_logic_level,analy_challenge,analy_work_style,analy_coding_interest,health_condition,health_energy,health_outdoor_preference,health_activity_preference,health_hours,health_note,category,hobby
15,Yes,both,Swimming,Low,Individual,Low,No,None,None,None,None,None,Yes,Math,Yes,Yes,Individual,Yes,No,None,None,None,None,None,None,High,Yes,Swimming,Medium,None,Academics,Math Olympiad
12,Yes,indoor,Badminton,Low,Team,Medium,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Coding,Low,No,Alone,No,Joint Pain,Medium,No,Yoga,High,None,Health,Yoga
13,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,Yes,Yes,Individual,Yes,No,None,None,None,None,None,None,Medium,Yes,Running,Low,None,Academics,Creative Writing
9,Yes,both,Swimming,High,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,High,Yes,Yoga,Medium,None,Sports,Swimming
9,No,None,None,None,None,None,Yes,Drawing,Medium,No,Medium,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Other,Low,No,Running,High,None,Arts,Drawing
11,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,No,No,Group,Yes,No,None,None,None,None,None,Other,Low,No,Yoga,Low,None,Academics,Creative Writing
7,Yes,indoor,Badminton,High,Individual,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,Low,Yes,Swimming,Medium,None,Sports,Badminton
6,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,Yes,Gymnastics,High,None,Health,Gymnastics
7,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,No,Yoga,Low,None,Health,Yoga
17,Yes,outdoor,Cricket,High,Team,Low,Yes,Dance,Medium,Yes,Medium,Free,No,None,None,None,None,None,Yes,Puzzles,High,Yes,With others,No,None,High,No,Meditation,High,None,Analytical,Chess
6,Yes,outdoor,Cricket,High,Team,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,Yes,Gymnastics,Low,None,Sports,Cricket
9,No,None,None,None,None,None,Yes,Music,Medium,Yes,Low,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Other,High,No,Gymnastics,Medium,None,Arts,Music
12,Yes,outdoor,Cricket,Low,Team,Low,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,Low,No,Alone,No,Other,Medium,Yes,Yoga,Medium,None,Health,Yoga
5,No,None,None,None,None,None,Yes,Music,Medium,No,Low,Free,No,None,None,None,None,None,No,None,None,None,None,None,Other,Low,Yes,Meditation,Low,None,Arts,Music
9,Yes,indoor,Badminton,Low,Team,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Low,Yes,Swimming,High,None,Sports,Badminton
16,Yes,both,Swimming,Low,Team,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Running,Medium,None,Health,Running
14,No,None,None,None,None,None,Yes,Music,Medium,Yes,High,Free,Yes,Math,No,No,Individual,No,No,None,None,None,None,None,None,Medium,No,Yoga,Low,None,Arts,Music
14,No,None,None,None,None,None,Yes,Drawing,Low,No,Medium,Structured,Yes,Science,No,Yes,Group,Yes,No,None,None,None,None,None,Joint Pain,Low,No,Yoga,Low,None,Academics,Science Club
9,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,No,Yes,Individual,No,No,None,None,None,None,None,None,Medium,Yes,Yoga,Medium,None,Academics,Science Club
15,Yes,outdoor,Football,High,Team,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Meditation,Low,None,Sports,Football
9,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,Yes,Gymnastics,High,None,Health,Gymnastics
14,Yes,indoor,Badminton,Low,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,Medium,No,Running,Medium,None,Sports,Badminton
17,Yes,indoor,Badminton,Medium,Individual,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,Low,Yes,Running,Medium,None,Sports,Badminton
9,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Yoga,Medium,None,Health,Yoga
14,Yes,both,Swimming,Low,Individual,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,No,Yoga,High,None,Sports,Swimming
5,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,Yes,No,Group,Yes,No,None,None,None,None,None,Joint Pain,High,No,Swimming,Medium,None,Academics,Science Club
10,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,Yes,No,Group,Yes,No,None,None,None,None,None,Asthma,Medium,No,Yoga,Medium,None,Academics,Creative Writing
12,No,None,None,None,None,None,Yes,Drawing,High,Yes,Medium,Free,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Low,Yes,Swimming,Medium,None,Arts,Drawing
17,Yes,indoor,Badminton,Medium,Team,High,Yes,Dance,Medium,No,Medium,Structured,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,Yes,Yoga,Medium,None,Sports,Badminton
7,No,None,None,None,None,None,Yes,Music,High,No,Medium,Free,Yes,Language,No,Yes,Group,No,No,None,None,None,None,None,Other,Medium,Yes,Gymnastics,High,None,Arts,Music
15,Yes,both,Swimming,Low,Team,Low,Yes,Drawing,Medium,Yes,High,Structured,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,No,Meditation,Medium,None,Arts,Drawing
