age,likes_sports,sport_indoor_outdoor,which_sport,sport_hours_per_day,sport_team_solo,sport_activity_level,sport_frequency,likes_arts,which_art,art_creativity,art_performance,art_hours,art_learning_style,art_digital_traditional,likes_academics,fav_subject,acad_problem_solving,acad_curiosity,acad_study_type,acad_competitions,acad_reading_habit,likes_analytical,analy_puzzle_type,analy_logic_level,analy_challenge,analy_work_style,analy_coding_interest,analy_patience_level,health_condition,health_energy,health_outdoor_preference,health_activity_preference,health_hours,health_sleep_quality,category,hobby
15,Yes,indoor,Table Tennis,High,Team,Medium,3-4 days,No,None,None,None,None,None,None,Yes,Math,Yes,No,Group,Yes,Yes,No,None,None,None,None,None,None,Joint Pain,High,No,Other,Low,Poor,Sports,Table Tennis
11,No,None,None,None,None,None,None,Yes,Dance,High,Yes,High,Free,Both,No,None,None,None,None,None,None,Yes,Robotics,Low,No,With others,No,Low,None,High,Yes,Yoga,High,Poor,Arts,Dance
15,Yes,outdoor,Football,Medium,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Gymnastics,High,Good,Sports,Football
13,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,High,Yes,Alone,No,High,None,Medium,No,Gymnastics,Medium,Poor,Analytical,Coding
14,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Other,Medium,Good,Health,Yoga
14,No,None,None,None,None,None,None,Yes,Music,Low,Yes,High,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,High,No,Meditation,High,Poor,Arts,Music
11,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,Yes,Yes,Group,No,No,No,None,None,None,None,None,None,None,Medium,Yes,Other,Medium,Poor,Academics,Math Olympiad
16,Yes,outdoor,Athletics,Low,Team,Medium,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,High,Yes,Meditation,High,Average,Sports,Athletics
5,Yes,indoor,Table Tennis,High,Team,Medium,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Meditation,Low,Good,Sports,Table Tennis
13,Yes,both,Table Tennis,Low,Team,Low,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Medium,No,Yoga,High,Average,Sports,Table Tennis
8,Yes,outdoor,Athletics,High,Team,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Meditation,Medium,Good,Sports,Athletics
8,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Yes,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,Joint Pain,Medium,No,Other,High,Poor,Academics,Math Olympiad
15,Yes,both,Badminton,Medium,Individual,Low,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Yoga,Medium,Average,Health,Yoga
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,Yes,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,Asthma,Low,No,Swimming,Medium,Average,Academics,Science Club
11,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Yes,Yes,Individual,No,Yes,No,None,None,None,None,None,None,Joint Pain,Low,Yes,Swimming,High,Average,Academics,Math Olympiad
13,Yes,outdoor,Swimming,High,Individual,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,High,Yes,Meditation,High,Poor,Sports,Swimming
15,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Language,Yes,Yes,Group,No,Yes,No,None,None,None,None,None,None,Asthma,Low,Yes,Swimming,Medium,Good,Academics,Creative Writing
6,Yes,both,Badminton,High,Team,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Swimming,High,Good,Sports,Badminton
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,Yes,No,Group,No,Yes,No,None,None,None,None,None,None,Asthma,High,No,Other,Low,Good,Academics,Science Club
9,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,Yes,No,Individual,Yes,Yes,No,None,None,None,None,None,None,None,Medium,Yes,Swimming,High,Average,Academics,Math Olympiad
16,No,None,None,None,None,None,None,Yes,Music,High,Yes,Medium,Structured,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,No,Gymnastics,Low,Good,Arts,Music
15,Yes,both,Other,High,Team,Medium,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Medium,Yes,Running,Low,Good,Sports,Cricket
17,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Medium,Yes,Gymnastics,High,Good,Health,Gymnastics
12,No,None,None,None,None,None,None,Yes,Music,High,Yes,Medium,Free,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,No,Running,High,Good,Arts,Music
5,Yes,outdoor,Athletics,Low,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Gymnastics,Medium,Good,Sports,Athletics
9,Yes,outdoor,Athletics,Low,Team,High,3-4 days,No,None,None,None,None,None,None,Yes,Language,No,No,Group,Yes,No,No,None,None,None,None,None,None,None,Medium,No,Swimming,High,Average,Sports,Athletics
7,Yes,indoor,Other,Medium,Individual,High,3-4 days,No,None,None,None,None,None,None,Yes,Language,Yes,No,Group,No,No,No,None,None,None,None,None,None,Joint Pain,Low,No,Other,High,Poor,Sports,Cricket
6,Yes,both,Swimming,High,Individual,Medium,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Puzzles,High,No,Alone,No,Low,Joint Pain,High,No,Yoga,Medium,Average,Sports,Swimming
7,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,No,Yes,Group,No,Yes,Yes,Puzzles,High,Yes,With others,Yes,Low,None,Medium,No,Gymnastics,High,Average,Academics,Math Olympiad
16,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Running,High,Good,Health,Running
8,Yes,both,Cricket,High,Team,High,3-4 days,Yes,Other,Low,Yes,Low,Free,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Meditation,High,Average,Sports,Cricket
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Gymnastics,Medium,Good,Health,Gymnastics
9,No,None,None,None,None,None,None,Yes,Other,Medium,No,Medium,Structured,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,No,Gymnastics,Low,Average,Arts,Drawing
5,Yes,outdoor,Basketball,High,Individual,Medium,5+ days,No,None,None,None,None,None,None,Yes,Math,No,Yes,Individual,No,Yes,No,None,None,None,None,None,None,None,High,Yes,Gymnastics,Low,Poor,Sports,Basketball
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,Yes,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,None,Low,No,Yoga,Low,Good,Academics,Science Club
9,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,Yes,No,Group,Yes,Yes,No,None,None,None,None,None,None,None,High,Yes,Running,High,Poor,Academics,Math Olympiad
13,Yes,both,Badminton,Low,Individual,Low,1-2 days,Yes,Dance,Medium,No,Medium,Free,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Other,Medium,Average,Arts,Dance
14,Yes,outdoor,Cricket,High,Individual,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Medium,Yes,Running,Medium,Average,Sports,Cricket
9,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,High,Yes,Meditation,High,Good,Health,Meditation
15,No,None,None,None,None,None,None,Yes,Music,Low,No,Low,Free,Traditional,No,None,None,None,None,None,None,Yes,Logical Games,High,Yes,With others,Yes,Medium,None,Medium,No,Other,Low,Poor,Analytical,Robotics
8,No,None,None,None,None,None,None,Yes,Music,High,Yes,Medium,Free,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Medium,Yes,Other,Medium,Poor,Arts,Music
13,Yes,outdoor,Athletics,High,Individual,Low,3-4 days,No,None,None,None,None,None,None,Yes,Language,No,No,Group,Yes,Yes,No,None,None,None,None,None,None,None,Low,No,Swimming,Medium,Poor,Sports,Athletics
15,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Language,Yes,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,None,Medium,No,Swimming,Medium,Average,Academics,Creative Writing
11,Yes,both,Swimming,High,Team,Low,1-2 days,Yes,Music,High,Yes,High,Free,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Low,Yes,Swimming,Medium,Good,Arts,Music
16,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Other,High,Good,Health,Yoga
7,No,None,None,None,None,None,None,Yes,Dance,Low,No,Medium,Free,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,Yes,Swimming,High,Good,Health,Swimming
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,No,No,Individual,No,Yes,No,None,None,None,None,None,None,Joint Pain,Medium,No,Other,High,Average,Health,Yoga
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Swimming,High,Poor,Health,Swimming
5,No,None,None,None,None,None,None,Yes,Drawing,Low,Yes,High,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Swimming,High,Average,Arts,Drawing
17,No,None,None,None,None,None,None,Yes,Music,High,Yes,High,Free,Digital,Yes,Science,No,Yes,Individual,Yes,No,No,None,None,None,None,None,None,None,Low,No,Gymnastics,Low,Good,Arts,Music
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Swimming,High,Poor,Health,Swimming
16,Yes,indoor,Swimming,High,Individual,Low,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Medium,No,Running,High,Good,Health,Running
13,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Puzzles,High,Yes,With others,No,High,None,High,No,Other,Medium,Good,Analytical,Chess
7,No,None,None,None,None,None,None,Yes,Dance,Medium,Yes,Medium,Free,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Running,Low,Average,Arts,Dance
10,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,No,Yes,Individual,No,Yes,No,None,None,None,None,None,None,None,Low,No,Yoga,Low,Good,Academics,Math Olympiad
11,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Low,Yes,Running,Medium,Good,Health,Running
11,Yes,indoor,Chess,Medium,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Low,Yes,Swimming,Medium,Good,Sports,Chess
