likes_outdoor,plays_games,physical_activity,team_spirit,fitness_interest,drawing_interest,painting,crafts,creativity,color_usage,reading,study_time,curiosity,problem_solving,grades_focus,discipline,social_behavior,leadership,patience,responsibility,singing,instrument,listening_music,rhythm,practice_music,screen_time,video_games,online_play,strategy_games,reaction_speed,hobby
High,High,Low,Low,Low,High,High,High,Low,Low,Low,High,High,Low,Low,High,Low,Low,Low,Low,High,Low,High,High,Low,Low,Low,Low,High,High,academics
High,High,High,Low,Low,Low,Low,High,Low,High,Low,Low,High,High,High,High,High,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,High,sports
Low,High,High,Low,Low,Low,Low,Low,High,High,Low,Low,Low,High,Low,Low,Low,High,High,High,High,High,High,Low,Low,High,Low,Low,Low,High,e_gaming
High,Low,High,Low,High,High,Low,Low,High,High,High,Low,High,Low,Low,High,Low,Low,Low,High,High,High,High,Low,Low,Low,High,High,High,High,behavioral
Low,Low,High,High,High,High,High,High,Low,High,Low,Low,Low,High,High,High,Low,Low,High,High,High,Low,Low,Low,Low,High,High,Low,Low,Low,music
High,High,High,Low,Low,Low,High,Low,Low,Low,Low,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,arts
High,Low,Low,Low,High,Low,High,Low,Low,Low,High,Low,Low,Low,High,High,Low,Low,Low,High,High,High,Low,High,Low,High,Low,High,High,High,sports
High,High,High,Low,High,High,Low,Low,Low,Low,Low,Low,High,High,Low,High,High,High,High,Low,High,Low,Low,Low,High,High,Low,Low,Low,High,e_gaming
Low,High,Low,Low,Low,High,Low,High,High,Low,High,High,High,Low,Low,High,Low,High,High,Low,High,High,High,High,High,High,High,Low,High,Low,behavioral
High,High,Low,Low,High,Low,High,High,High,Low,High,High,High,Low,High,High,High,Low,Low,High,Low,Low,Low,High,High,High,High,High,Low,Low,academics
High,Low,Low,High,Low,High,Low,Low,High,Low,High,Low,High,High,High,High,Low,High,Low,Low,High,Low,High,High,Low,High,High,High,Low,Low,arts
Low,Low,High,High,High,High,Low,High,Low,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,High,High,Low,High,Low,High,Low,arts
High,Low,Low,High,Low,Low,Low,Low,High,Low,Low,High,High,Low,High,Low,Low,High,Low,Low,Low,Low,High,High,High,High,Low,Low,Low,High,sports
Low,Low,High,High,Low,High,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,Low,High,High,Low,High,High,Low,High,Low,Low,Low,High,High,arts
High,Low,Low,Low,Low,Low,Low,High,Low,High,High,Low,Low,High,Low,High,High,Low,Low,High,Low,High,High,Low,Low,High,High,High,High,High,academics
Low,High,High,Low,High,High,High,High,High,High,High,High,Low,High,Low,High,High,High,High,Low,Low,High,Low,High,High,High,Low,High,High,High,e_gaming
Low,High,Low,Low,Low,High,High,High,High,High,High,Low,High,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,High,High,Low,Low,academics
High,Low,High,High,High,High,High,High,High,Low,High,Low,High,Low,High,Low,High,Low,High,High,Low,High,Low,Low,High,Low,High,High,Low,Low,sports
High,Low,High,High,Low,Low,High,High,Low,High,Low,High,Low,High,Low,Low,Low,High,Low,Low,High,Low,High,Low,Low,High,Low,Low,High,High,music
Low,Low,Low,High,High,Low,High,Low,Low,High,Low,High,High,High,Low,High,High,Low,Low,Low,High,High,Low,High,High,High,Low,High,Low,High,arts
High,High,Low,Low,High,High,High,Low,Low,Low,High,Low,High,Low,High,Low,Low,High,Low,High,Low,Low,High,High,High,Low,High,Low,Low,High,behavioral
High,High,Low,High,Low,Low,High,High,High,Low,Low,Low,High,High,Low,High,High,Low,Low,High,Low,Low,High,Low,High,Low,Low,Low,Low,Low,e_gaming
High,Low,High,Low,Low,Low,High,High,High,High,Low,Low,Low,High,Low,High,High,High,Low,High,High,Low,Low,High,Low,High,Low,Low,Low,Low,arts
Low,High,Low,High,Low,High,High,Low,Low,Low,High,High,Low,High,High,High,High,High,High,Low,High,High,Low,High,High,High,High,High,High,Low,academics
Low,Low,Low,Low,High,High,High,Low,Low,High,High,Low,High,Low,High,High,High,High,Low,High,Low,Low,Low,High,Low,High,Low,High,Low,High,academics
High,High,Low,Low,High,High,Low,Low,Low,Low,Low,High,High,High,High,High,High,Low,High,High,High,High,High,High,Low,High,High,Low,High,High,sports
Low,High,Low,Low,Low,High,High,High,High,Low,High,Low,High,High,High,Low,High,Low,High,Low,Low,Low,High,High,High,High,Low,High,High,High,arts
High,Low,High,High,High,High,Low,High,Low,Low,Low,High,High,Low,High,Low,High,Low,Low,High,High,Low,Low,High,High,High,High,High,Low,High,music
Low,Low,High,High,High,High,High,High,High,Low,Low,High,High,High,Low,Low,Low,High,Low,Low,Low,High,Low,Low,High,High,High,Low,Low,Low,behavioral
High,Low,High,High,High,Low,Low,High,High,Low,Low,High,Low,High,Low,High,High,Low,High,High,High,High,Low,Low,Low,Low,High,Low,Low,Low,academics
Low,High,Low,Low,Low,High,Low,High,Low,High,Low,Low,Low,High,High,Low,High,Low,High,High,Low,High,High,High,Low,High,High,Low,High,Low,e_gaming
High,Low,Low,Low,High,High,Low,High,Low,High,High,Low,Low,High,High,High,Low,High,High,Low,Low,High,Low,High,High,Low,Low,Low,High,High,e_gaming
High,Low,High,Low,High,High,Low,High,High,High,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,Low,High,Low,High,High,Low,Low,Low,High,sports
Low,High,Low,Low,Low,High,Low,High,High,Low,High,Low,Low,High,High,Low,Low,High,Low,Low,High,High,Low,Low,High,High,Low,Low,Low,Low,music
Low,High,Low,High,Low,High,Low,High,High,High,High,High,Low,High,High,High,High,Low,Low,Low,High,Low,Low,High,Low,High,High,High,Low,Low,arts
